spp,r1,r2,r3,r4,r5,small8,big14,smallrank,bigrank,shaderank,inverseshade,shadetol,st_ba_sm,st_ba_sm_rev
thpl,0.03,0.0238,0.0049,0.008915,1.78,0.361095041,1.3236,6,10,9,1,1,0.349056,0
tshe,0.03,0.0215,0.00363,0.011109,1.725,0.401333298,1.04248,7,6,10,2,1,0.349056,0
pien,0.03,0.0173,0.00259,0.007875,1.736,0.291081618,0.77984,1,2,6,3,0.75,0.261792,0.087264
abla,0.03,0.0216,0.00405,0.011402,1.756,0.439346381,1.1262,8,8,7,4,0.75,0.261792,0.087264
abgr,0.04,0.027,0.00405,0.015248,1.7333,0.560452432,1.2118,10,9,8,5,0.75,0.261792,0.087264
pimo,0.03,0.0167,0.0023,0.009884,1.6667,0.316309924,0.7146,3,1,4,6,0.5,0.174528,0.174528
psme,0.11,0.0333,0.00259,0.017299,1.5571,0.440780545,1.08384,9,7,5,7,0.5,0.174528,0.174528
pipo,0.03,0.018,0.00281,0.007813,1.768,0.308660405,0.83276,2,3,3,8,0.25,0.087264,0.261792
laoc,0.02,0.0148,0.00338,0.007244,1.8182,0.317670331,0.88968,4,4,1,9,0,0,0.349056
pico,0.01925,0.01676,0.00365,0.009187,1.76,0.356953869,0.96929,5,5,2,10,0,0,0.349056
