setting_id,plot_id,TagID,purpose_code,dbh_breakpoint,Status,Species,TreeCount,DBH,Height,CrownRatio,CrownClass,DecayClass,UserField,Azimuth,Distance,Tree_Remark,DCategory.1,DAgent.1,DPart.1,DSeverity.1,DCategory.2,DAgent.2,DPart.2,DSeverity.2,DCategory.3,DAgent.3,DPart.3,DSeverity.3
01160708020064,101,1,CP,3,L,PSME,1,10.1,44,0.4,CO,NA,NA,76,24.1,AD from 91; blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,2,CP,3,L,PSME,1,8.5,48,0.3,CO,NA,NA,84,22.8,AD from 91; blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,3,CP,3,L,PSME,1,9.7,47,0.3,CO,NA,NA,98,21.3,AD from 91; blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,4,CP,3,L,PSME,1,13.4,79,0.5,DO,NA,NA,130,26,AD from 91; blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,6,CP,3,L,PSME,1,10.2,59,0.4,CO,NA,NA,278,17.3,AD from 91; blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,7,CP,3,L,PSME,1,8,50,0.3,CO,NA,NA,286,23.7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,8,CP,3,L,PSME,1,8.5,59,0.3,CO,NA,NA,317,17.2,AD from 91; blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,92,CP,3,L,PSME,1,8.4,55,0.3,CO,NA,NA,37,17.1,AD from 91; blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,93,CP,3,L,PSME,1,8.8,54,0.4,CO,NA,NA,166,13.1,AD from 91; blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,94,CP,3,L,PSME,1,5.9,41,0.2,IN,NA,NA,284,17.2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,95,CP,3,L,PIPO,1,9.6,52,0.4,CO,NA,NA,5,25.5,AD from 91; blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,129,CP,3,L,PSME,1,5.3,38,0.2,IN,NA,NA,287,14.1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,130,CP,3,L,PSME,1,4.2,44,0.2,CO,NA,NA,296,26.3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,131,CP,3,L,PSME,1,5,37,0.3,IN,NA,NA,349,16.5,ADC; AD blank in 96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,200,CP,3,L,PSME,1,5.5,36,0.5,CO,NA,NA,66,18.3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,501,CP,3,L,PSME,1,5.7,37,0.4,CO,NA,NA,79,5.7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,901,CP,3,L,PSME,1,5.3,41,0.3,CO,NA,NA,352,18,ADC; possible old tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,902,CP,3,L,PSME,1,4.4,36,0.4,CO,NA,NA,18,12.3,ADC; possible old tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,903,CP,3,L,PSME,1,5.1,41,0.3,CO,NA,NA,110,6,ADC; possible old tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,904,CP,3,L,PSME,1,3.2,29,0.2,IN,NA,NA,214,18,ADC; new tree  2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01160708020064,101,905,CP,3,L,PSME,1,5,40,0.4,CO,NA,NA,216,17,ADC; possible old tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
