"SETTING_ID","MEASUREMENT_NO","PURPOSE_CODE","MEASUREMENT_DATE","PLOT","TAG_ID","AZIMUTH","DISTANCE","SET_CN","PLOT_CN","TREE_CN","LIVE_DEAD","SPECIES_SYMBOL","DIAMETER"
"01160304010002",1,"CP","10/1/1987",103,1,NA,17.8,"445610010259","445619010259","2639164010259","L","PSME",3.1
"01160304010002",2,"CP","7/1/1992",101,28,NA,NA,"445660010259","445661010259","2639412010259","L","ABLA",3.6
"01160304010002",2,"CP","7/1/1992",101,29,NA,NA,"445660010259","445661010259","2639413010259","L","ABLA",3.5
"01160304010002",2,"CP","7/1/1992",101,30,NA,NA,"445660010259","445661010259","2639414010259","L","ABLA",3
"01160304010002",2,"CP","7/1/1992",101,31,NA,NA,"445660010259","445661010259","2639415010259","L","PSME",3
"01160304010002",2,"CP","7/1/1992",101,32,NA,NA,"445660010259","445661010259","2639416010259","L","PSME",3.3
"01160304010002",2,"CP","7/1/1992",101,33,NA,NA,"445660010259","445661010259","2639417010259","L","ABLA",3.3
"01160304010002",2,"CP","7/1/1992",101,34,NA,NA,"445660010259","445661010259","2639418010259","L","LAOC",3.4
"01160304010002",2,"CP","7/1/1992",101,702,NA,NA,"445660010259","445661010259","2639443010259","L","LAOC",3.5
"01160304010002",2,"CP","7/1/1992",102,132,NA,NA,"445660010259","445665010259","2639478010259","L","ABLA",3.3
"01160304010002",2,"CP","7/1/1992",102,133,NA,NA,"445660010259","445665010259","2639479010259","L","ABLA",3.2
"01160304010002",2,"CP","7/1/1992",102,134,NA,NA,"445660010259","445665010259","2639480010259","L","ABLA",3.4
"01160304010002",2,"CP","7/1/1992",102,135,NA,NA,"445660010259","445665010259","2639481010259","L","PICO",3.2
"01160304010002",2,"CP","7/1/1992",102,609,NA,NA,"445660010259","445665010259","2639495010259","L","ABLA",3.1
"01160304010002",2,"CP","7/1/1992",102,706,NA,NA,"445660010259","445665010259","2639509010259","L","ABLA",3.3
"01160304010002",2,"CP","7/1/1992",103,114,NA,NA,"445660010259","445669010259","2639551010259","L","LAOC",3.4
"01160304010002",2,"CP","7/1/1992",103,115,NA,NA,"445660010259","445669010259","2639552010259","L","PSME",3
"01160304010002",2,"CP","7/1/1992",103,116,NA,NA,"445660010259","445669010259","2639553010259","L","PSME",3.4
"01160304010002",2,"CP","7/1/1992",103,117,NA,NA,"445660010259","445669010259","2639554010259","L","ABLA",3.5
"01160304010002",2,"CP","7/1/1992",103,118,NA,NA,"445660010259","445669010259","2639555010259","L","ABLA",3.3
"01160304010002",2,"CP","7/1/1992",103,119,NA,NA,"445660010259","445669010259","2639556010259","L","ABLA",3
"01160304010002",2,"CP","7/1/1992",103,120,NA,NA,"445660010259","445669010259","2639557010259","L","ABLA",4
"01160304010002",2,"CP","7/1/1992",103,121,NA,NA,"445660010259","445669010259","2639558010259","L","ABLA",3.4
"01160304010002",2,"CP","7/1/1992",103,122,NA,NA,"445660010259","445669010259","2639559010259","L","ABLA",3.3
"01160304010002",2,"CP","7/1/1992",103,123,NA,NA,"445660010259","445669010259","2639560010259","L","ABLA",3.5
"01160304010002",2,"CP","7/1/1992",103,124,NA,NA,"445660010259","445669010259","2639561010259","L","LAOC",3
"01160304010002",2,"CP","7/1/1992",103,125,NA,NA,"445660010259","445669010259","2639562010259","L","LAOC",3
"01160304010002",2,"CP","7/1/1992",103,126,NA,NA,"445660010259","445669010259","2639563010259","L","LAOC",3
"01160304010002",2,"CP","7/1/1992",103,127,NA,NA,"445660010259","445669010259","2639564010259","L","LAOC",3.2
"01160304010002",2,"CP","7/1/1992",103,128,NA,NA,"445660010259","445669010259","2639565010259","L","LAOC",3.3
"01160304010002",2,"CP","7/1/1992",103,129,NA,NA,"445660010259","445669010259","2639566010259","L","LAOC",3
"01160304010002",2,"CP","7/1/1992",103,130,NA,NA,"445660010259","445669010259","2639567010259","L","PSME",3
"01160304010002",2,"CP","7/1/1992",103,131,NA,NA,"445660010259","445669010259","2639568010259","L","PSME",3.1
"01160309070001",2,"CP","9/1/1990",101,1,NA,NA,"522790010259","522791010259","3307273010259","L","LAOC",6.6
"01160309070001",2,"CP","9/1/1990",101,2,NA,NA,"522790010259","522791010259","3307274010259","L","PICO",5.8
"01160309070001",2,"CP","9/1/1990",101,3,NA,NA,"522790010259","522791010259","3307275010259","L","PICO",6
"01160309070001",2,"CP","9/1/1990",101,4,NA,NA,"522790010259","522791010259","3307276010259","L","LAOC",7.3
"01160309070001",2,"CP","9/1/1990",101,701,NA,NA,"522790010259","522791010259","3307292010259","L","ABLA",3.1
"01160309070001",2,"CP","9/1/1990",101,702,NA,NA,"522790010259","522791010259","3307293010259","L","PIEN",3.1
"01160309070001",2,"CP","9/1/1990",102,1,NA,NA,"522790010259","522795010259","3307296010259","L","PICO",5.3
"01160309070001",2,"CP","9/1/1990",102,2,NA,NA,"522790010259","522795010259","3307297010259","L","LAOC",7.3
"01160309070001",2,"CP","9/1/1990",103,1,NA,NA,"522790010259","522799010259","3307308010259","L","PICO",4.3
"01160309070001",2,"CP","9/1/1990",103,2,NA,NA,"522790010259","522799010259","3307309010259","L","PICO",6.3
"01160309070001",2,"CP","9/1/1990",103,3,NA,NA,"522790010259","522799010259","3307310010259","L","PICO",7.1
"01160309070001",2,"CP","9/1/1990",103,4,NA,NA,"522790010259","522799010259","3307311010259","L","PICO",7.5
"01160309070001",2,"CP","9/1/1990",103,5,NA,NA,"522790010259","522799010259","3307312010259","L","PICO",8.1
"01160309070001",2,"CP","9/1/1990",103,501,NA,NA,"522790010259","522799010259","3307324010259","L","PIEN",3.5
"01160309070001",2,"CP","9/1/1990",103,504,NA,NA,"522790010259","522799010259","3307327010259","L","ABLA",3.5
"01160309070001",2,"CP","9/1/1990",103,6,NA,NA,"522790010259","522799010259","3307313010259","L","PIEN",4.2
"01160309070001",2,"CP","9/1/1990",103,602,NA,NA,"522790010259","522799010259","3307331010259","L","ABLA",3
