"PLOT","SUBP","TAG_ID","AZIMUTH","DISTANCE","TREE_COUNT","SPECIES_SYMBOL","LIVE_DEAD","DIAMETER","HEIGHT","CROWN_RATIO","CROWN_CLASS","SNAG_DECAY_CLASS","REMARKS","PRV_DAM"
101,"",1,163,24.9,"","PSME","L",5.6,,93,"CO","","",""
101,"",2,188,17.8,"","LAOC","L",4.8,33,70,"CO","","","25-034-1"
101,"",3,229,17.7,"","LAOC","L",3.7,29,70,"CO","","","25-034-1"
101,"",58,272,10,"","LAOC","L",8.5,44,70,"CO","","","25-034-1"
101,"",501,282,16.6,"","PSME","L",3.2,25,80,"IN","","","22-000-1"
101,"",61,294,20.4,"","LAOC","L",4.3,37,30,"CO","","","25-034-1"
101,"",62,323,21.6,"","PSME","L",6.1,37,93,"CO","","",""
101,"",153,324,24,"","PSME","L",3.6,28,80,"IN","","",""
101,"5",502,70,6.7,"","PSME","L",2.5,23,80,"IN","","",""
101,"5",505,,,"","PSME","L",1.3,15,70,"IN","","",""
101,"5",506,,,"","PSME","L",0.9,9,70,"IN","","",""
101,"5",507,,,"","LAOC","L",2.1,24,30,"IN","","",""
101,"6",601,121,6.5,"","PSME","L",1.2,9,93,"IN","","",""
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,"",27,3,25.5,"","LAOC","L",4.1,41,40,"CO","","",""
102,"",28,13,22.4,"","PSME","L",3.7,38,60,"CO","","",""
102,"",29,26,22.5,"","ABGR","L",4.1,39,70,"CO","","",""
102,"",86,41,23.5,"","PSME","L",3.1,31,70,"CO","","",""
102,"",87,76,23.7,"","ABLA","L",3.7,32,70,"CO","","",""
102,"",11,82,15.2,"","PSME","L",5.6,37,70,"CO","","",""
102,"",20,84,19.6,"","ABLA","L",5.1,40,70,"CO","","",""
102,"",30,89,11.8,"","PSME","L",4.1,36,60,"CO","","",""
102,"",31,99,10.2,"","PSME","L",3.6,,50,"CO","","",""
102,"",603,103,23.8,"","PSME","L",3.5,34,50,"CO","","",""
102,"",88,113,26.3,"","PSME","L",3.1,32,50,"CO","","",""
102,"",32,120,11.2,"","PSME","L",4,,60,"CO","","",""
102,"",33,132,9.1,"","PSME","L",4.5,,60,"CO","","",""
102,"",89,133,17.6,"","PSME","L",3.2,,60,"CO","","",""
102,"",34,145,23.6,"","LAOC","L",3.4,34,30,"CO","","",""
102,"",35,152,19.1,"","LAOC","L",3.6,36,40,"CO","","",""
102,"",21,155,17.6,"","LAOC","L",4.1,37,50,"CO","","",""
102,"",22,193,21.2,"","LAOC","L",5,35,60,"CO","","",""
102,"",36,228,16.3,"","PSME","L",3.8,,70,"CO","","",""
102,"",23,230,19.8,"","PSME","L",6.7,46,60,"CO","","",""
