Stand Number,Stand Name,Waypoint,Lat,Lon,Date,Time (UTC),,,,,,,,,,,,,,,,,,,
01160734020162,UpUp1,TOPT 2,47.32406,-115.321435,2018-07-12,20:34,,,,,,,,,,,,,,,,,,,
01160734020162,UpUp1,Center cluster3,47.325021,-115.321411,2018-07-12,20:37,,,,,,,,,,,,,,,,,,,
01160734020162,UpUp1,Center cluster2,47.325406,-115.320616,2018-07-12,20:54,,,,,,,,,,,,,,,,,,,
01160304010002,LoloPK,Truck lolo 2,46.728011,-114.130951,2018-07-16,15:33,,,,,,,,,,,,,,,,,,,
01160304010002,LoloPK,Truck lolo,46.728075,-114.130961,2018-07-16,15:33,,,,,,,,,,,,,,,,,,,
01160304010002,LoloPK,Lolo plot?,46.711662,-114.161482,2018-07-16,15:42,,,,,,,,,,,,,,,,,,,
01160304010002,LoloPK,End of road,46.716628,-114.144308,2018-07-16,16:14,,,,,,,,,,,,,,,,,,,
01160304010002,LoloPK,End of road 2,46.705204,-114.161462,2018-07-16,17:33,,,,,,,,,,,,,,,,,,,
01160764010048,Loz1,Lozeau plot 1,47.149703,-114.738063,2018-07-24,14:36,,,,,,,,,,,,,,,,,,,
01160764010048,Loz1,Lozeau topt2 2,47.150865,-114.739412,2018-07-24,16:41,,,,,,,,,,,,,,,,,,,
01160764010048,Loz1,Lozeau stand 2,47.152777,-114.709169,2018-07-24,19:55,,,,,,,,,,,,,,,,,,,
01160764010048,Loz1,Lozeau topt2 3,47.159716,-114.711099,2018-07-26,14:54,,,,,,,,,,,,,,,,,,,
01160764010048,Loz1,Lozeau c2p1,47.148968,-114.739736,2018-09-17,21:59,,,,,,,,,,,,,,,,,,,
01160764010048,Loz1,Lozeau c4p1,47.150827,-114.711616,2018-09-18,20:04,,,,,,,,,,,,,,,,,,,
01160764010048,Loz1,Lozeau c1p3,47.155214,-114.708806,2018-09-18,20:09,,,,,,,,,,,,,,,,,,,
01160764010048,Loz1,Lozeau c4p2,47.150694,-114.712015,2018-09-19,16:34,,,,,,,,,,,,,,,,,,,
01160764010048,Loz1,Lozeau c4p3,47.150659,-114.712344,2018-09-19,18:02,,,,,,,,,,,,,,,,,,,
01160415010059,Little Blue ,lbc top,47.200123,-114.562457,2020-06-11,18:15,,,,,,,,,,,,,,,,,,,
01160415010059,Little Blue ,Lbc cl 2,47.199917,-114.565793,2020-06-11,19:25,,,,,,,,,,,,,,,,,,,
01160415010059,Little Blue ,Lbc cl 3-3,47.2006,-114.565517,2020-06-11,19:25,,,,,,,,,,,,,,,,,,,
01160415010059,Little Blue ,Lbc cl 4,47.199876,-114.566735,2020-06-11,19:44,,,,,,,,,,,,,,,,,,,
01160415010059,Little Blue ,Lbc cl 1,47.199465,-114.564119,2020-06-11,20:01,,,,,,,,,,,,,,,,,,,
01160416050019,McCormick Creek,Mcormick creekpark,47.157275,-114.486988,2020-06-12,16:40,,,,,,,,,,,,,,,,,,,
01160416050019,McCormick Creek,Mcr top 0,47.155873,-114.490914,2020-06-12,17:06,,,,,,,,,,,,,,,,,,,
01160416050019,McCormick Creek,Mcr 1,47.156485,-114.491711,2020-06-12,17:09,,,,,,,,,,,,,,,,,,,
01160416050019,McCormick Creek,Mcr 1 top,47.155998,-114.490347,2020-06-12,17:12,,,,,,,,,,,,,,,,,,,
01160410060004,Rennick creek,Reniccreek park,47.062365,-114.467811,2020-06-12,19:00,,,,,,,,,,,,,,,,,,,
01160410060004,Rennick creek,Reniccreek 1,47.061007,-114.467618,2020-06-12,19:17,,,,,,,,,,,,,,,,,,,
01160410060004,Rennick creek,Reniccreek 2,47.059366,-114.470136,2020-06-12,19:46,,,,,,,,,,,,,,,,,,,
01160410060004,Rennick creek,Reniccreek 3,47.060646,-114.473914,2020-06-12,20:22,,,,,,,,,,,,,,,,,,,
01160410060004,Rennick creek,Reniccreek 3 junct,47.058557,-114.472725,2020-06-12,20:38,,,,,,,,,,,,,,,,,,,
01160410060004,Rennick creek,Reniccreek 4,47.057835,-114.471549,2020-06-12,20:48,,,,,,,,,,,,,,,,,,,
01160410060004,Rennick creek,Reniccreek 4,47.057567,-114.471559,2020-06-12,20:54,,,,,,,,,,,,,,,,,,,
01160410060004,Rennick creek,Reniccreek 4,47.057949,-114.471799,2020-06-12,20:57,,,,,,,,,,,,,,,,,,,
01160410060004,Rennick creek,Reniccreek 1 top,47.060496,-114.467498,2020-06-12,21:08,,,,,,,,,,,,,,,,,,,
01160417030008,Kries Pond,Kp 3,47.10758,-114.441761,2020-06-15,17:36,,,,,,,,,,,,,,,,,,,
01160417030008,Kries Pond,Kp 4 tree19,47.108101,-114.439965,2020-06-15,17:51,,,,,,,,,,,,,,,,,,,
01160417030008,Kries Pond,Kp 2 no tags,47.10805,-114.442916,2020-06-15,18:17,,,,,,,,,,,,,,,,,,,
01160417030008,Kries Pond,Kp 1,47.107236,-114.442322,2020-06-15,18:24,,,,,,,,,,,,,,,,,,,
01160417030008,Kries Pond,Kp 1,47.107053,-114.44237,2020-06-15,18:26,,,,,,,,,,,,,,,,,,,
01160417030008,Kries Pond,Kp post,47.106746,-114.441945,2020-06-15,18:27,,,,,,,,,,,,,,,,,,,
01160417030008,Kries Pond,Kp top,47.098258,-114.435268,2020-06-15,18:53,,,,,,,,,,,,,,,,,,,
01160418040010,Rock Creek,Rc 4 tree841,47.120196,-114.363842,2020-06-15,21:24,,,,,,,,,,,,,,,,,,,
01160418040010,Rock Creek,Rc 2 tree202,47.120759,-114.364041,2020-06-15,21:33,,,,,,,,,,,,,,,,,,,
01160418040010,Rock Creek,Rc 1,47.121334,-114.364379,2020-06-15,21:35,,,,,,,,,,,,,,,,,,,
01160418040010,Rock Creek,Rc 3,47.12219,-114.365317,2020-06-15,21:43,,,,,,,,,,,,,,,,,,,
01160418040010,Rock Creek,Rc park,47.123562,-114.378007,2020-06-15,22:50,,,,,,,,,,,,,,,,,,,
01160309070001,Elk Meadows,Em park,46.698002,-114.401265,2020-06-16,16:01,,,,,,,,,,,,,,,,,,,
01160309070001,Elk Meadows,Em east cattleguard,46.702901,-114.398362,2020-06-16,16:29,,,,,,,,,,,,,,,,,,,
01160309070001,Elk Meadows,Em east rough top,46.701505,-114.399315,2020-06-16,16:34,,,,,,,,,,,,,,,,,,,
01160309070001,Elk Meadows,Em east 3 tree604,46.701833,-114.399921,2020-06-16,16:52,,,,,,,,,,,,,,,,,,,
01160309070001,Elk Meadows,Em east tree39,46.701557,-114.399271,2020-06-16,16:54,,,,,,,,,,,,,,,,,,,
01160309070001,Elk Meadows,Em east tree65,46.701557,-114.399271,2020-06-16,16:57,,,,,,,,,,,,,,,,,,,
