COMMON_NAME,GENUS,SPECIES,"Shade Tolerance Index",SPCD
"swamp cottonwood",Populus,heterophylla,0.25,744
"plains cottonwood",Populus,deltoides,0,745
"quaking aspen",Populus,tremuloides,0,746
"black cottonwood",Populus,balsamifera,0,747
"Fremont cottonwood",Populus,fremontii,0,748
"narrowleaf cottonwood",Populus,angustifolia,0,749
"silver poplar",Populus,alba,0,752
"Lombardy poplar",Populus,nigra,0,753
"mesquite spp.",Prosopis,spp.,0,755
"honey mesquite",Prosopis,glandulosa,0,756
"velvet mesquite",Prosopis,velutina,0,757
"screwbean mesquite",Prosopis,pubescens,0,758
"cherry and plum spp.",Prunus,spp.,0,760
"pin cherry",Prunus,pensylvanica,0,761
"black cherry",Prunus,serotina,0.25,762
chokecherry,Prunus,virginiana,0,763
peach,Prunus,persica,0,764
"Canada plum",Prunus,nigra,0,765
"American plum",Prunus,americana,0,766
"bitter cherry",Prunus,emarginata,0,768
"Allegheny plum",Prunus,alleghaniensis,0,769
"Chickasaw plum",Prunus,angustifolia,0,770
"sweet cherry, domesticated",Prunus,avium,0,771
"sour cherry, domesticated",Prunus,cerasus,0,772
"European plum, domesticated",Prunus,domestica,0,773
"Mahaleb cherry, domesticated",Prunus,mahaleb,0,774
"oak spp",Quercus,spp.,0.5,800
"California live oak",Quercus,agrifolia,0.5,801
"white oak",Quercus,alba,0.5,802
"Arizona white oak",Quercus,arizonica,0.5,803
"swamp white oak",Quercus,bicolor,0.5,804
"canyon live oak",Quercus,chrysolepis,0.75,805
"scarlet oak",Quercus,coccinea,0,806
"blue oak",Quercus,douglasii,0.25,807
"Durand oak",Quercus,sinuata,0.5,808
"northern pin oak",Quercus,ellipsoidalis,0.5,809
"Emory oak",Quercus,emoryi,0.5,810
"Engelmann oak",Quercus,engelmannii,0.5,811
"southern red oak",Quercus,falcata,0.5,812
"cherrybark oak",Quercus,pagoda,0.25,813
"Gambel oak",Quercus,gambelii,0.5,814
"Oregon white oak",Quercus,garryana,0.25,815
"scrub oak",Quercus,ilicifolia,0.5,816
"shingle oak",Quercus,imbricaria,0.5,817
"California black oak",Quercus,kelloggii,0.25,818
"turkey oak",Quercus,laevis,0.25,819
"laurel oak",Quercus,laurifolia,0.75,820
"California white oak",Quercus,lobata,0.5,821
"overcup oak",Quercus,lyrata,0.5,822
"bur oak",Quercus,macrocarpa,0.5,823
"blackjack oak",Quercus,marilandica,0.5,824
"swamp chestnut oak",Quercus,michauxii,0.25,825
