Stand ID,National Forest,Elevation,Aspect,Habitat Type,Initial Disturbance
01140109010001,Kootenai,4900,NE,573,Prescribed fire
01140119020008,Kootenai,5000,SE,621,Scarification or Mech Logging
01140120010011,Kootenai,4500,W,291,Scarification or Mech Logging
01140123030001,Kootenai,4800,NW,670,Scarification or Mech Logging
01140316020106,Kootenai,2900,N,312,Prescribed fire
01140343020046,Kootenai,4900,N,620,Prescribed fire
01140528020011,Kootenai,3300,LR,571,Scarification or Mech Logging
01140588050005,Kootenai,3200,SE,571,Prescribed fire
01160347060010,Lolo,5600,N,670,Logging
01160347060011,Lolo,5300,N,625,Logging
01160410060004,Lolo,4100,NE,531,Logging
01160415010059,Lolo,5200,NW,590,Logging
01160708020064,Lolo,3600,NW,591,Logging
01160714020002,Lolo,5000,N,533,Logging
01160734020002,Lolo,5400,NW,680,Logging
01160734020162,Lolo,5100,NW,530,Prescribed fire
01160736010001,Lolo,4200,N,530,Logging
01160737010005,Lolo,4800,E,521,Logging
01160739020139,Lolo,4700,NE,531,Logging
01160764020036,Lolo,4400,W,590,Logging
